From,To,Flight Cost ($),Flight Duration (mins)
London,Paris,83,85
London,Milan,80,120
London,Vienna,137,135
London,Barcelona,93,130
London,Madrid,55,145
London,Lyon,91,95
London,Berlin,84,115
London,Venice,82,130
London,Rome,85,150
London,Munich,70,115
London,Zurich,85,105
London,Amsterdam,71,85
London,Brussels,70,75
London,Florence,110,135
London,Birmingham,219,285
London,Prague,118,110
London,Nantes,157,330
Paris,London,61,90
Paris,Milan,102,90
Paris,Vienna,109,115
Paris,Barcelona,98,105
Paris,Madrid,63,120
Paris,Lyon,90,190
Paris,Berlin,94,105
Paris,Venice,99,100
Paris,Rome,109,120
Paris,Munich,95,90
Paris,Zurich,99,85
Paris,Amsterdam,82,80
Paris,Brussels,284,55
Paris,Florence,128,100
Paris,Birmingham,78,80
Paris,Prague,99,100
Paris,Nantes,123,310
Milan,London,56,130
Milan,Paris,103,95
Milan,Vienna,89,90
Milan,Barcelona,142,95
Milan,Madrid,47,140
Milan,Lyon,133,240
Milan,Berlin,99,100
Milan,Venice,129,210
Milan,Rome,72,80
Milan,Munich,107,70
Milan,Zurich,98,60
Milan,Amsterdam,73,115
Milan,Brussels,94,95
Milan,Florence,173,210
Milan,Birmingham,115,260
Milan,Prague,152,170
Milan,Nantes,119,175
Vienna,London,43,140
Vienna,Paris,121,125
Vienna,Milan,102,85
Vienna,Barcelona,173,140
Vienna,Madrid,97,190
Vienna,Lyon,235,110
Vienna,Berlin,124,75
Vienna,Venice,92,65
Vienna,Rome,103,95
Vienna,Munich,102,60
Vienna,Zurich,441,80
Vienna,Amsterdam,155,115
Vienna,Brussels,121,110
Vienna,Florence,156,305
Vienna,Birmingham,149,245
Vienna,Prague,145,50
Vienna,Nantes,121,260
Barcelona,London,65,145
Barcelona,Paris,72,120
Barcelona,Milan,135,100
Barcelona,Vienna,86,135
Barcelona,Madrid,40,85
Barcelona,Lyon,55,90
Barcelona,Berlin,74,165
Barcelona,Venice,89,110
Barcelona,Rome,72,105
Barcelona,Munich,157,125
Barcelona,Zurich,168,105
Barcelona,Amsterdam,116,145
Barcelona,Brussels,85,130
Barcelona,Florence,73,105
Barcelona,Birmingham,79,150
Barcelona,Prague,65,150
Barcelona,Nantes,147,95
Madrid,London,43,145
Madrid,Paris,56,125
Madrid,Milan,40,130
Madrid,Vienna,114,180
Madrid,Barcelona,25,75
Madrid,Lyon,39,110
Madrid,Berlin,71,185
Madrid,Venice,60,150
Madrid,Rome,51,145
Madrid,Munich,87,160
Madrid,Zurich,52,140
Madrid,Amsterdam,53,160
Madrid,Brussels,60,145
Madrid,Florence,84,140
Madrid,Birmingham,157,265
Madrid,Prague,149,170
Madrid,Nantes,59,100
Lyon,London,57,110
Lyon,Paris,84,245
Lyon,Milan,254,60
Lyon,Vienna,209,195
Lyon,Barcelona,118,250
Lyon,Madrid,63,120
Lyon,Berlin,52,115
Lyon,Venice,41,75
Lyon,Rome,70,90
Lyon,Munich,144,80
Lyon,Zurich,143,210
Lyon,Amsterdam,102,105
Lyon,Brussels,115,85
Lyon,Florence,139,250
Lyon,Birmingham,103,220
Lyon,Prague,105,315
Lyon,Nantes,59,80
Berlin,London,74,130
Berlin,Paris,92,110
Berlin,Milan,109,110
Berlin,Vienna,194,75
Berlin,Barcelona,108,155
Berlin,Madrid,67,195
Berlin,Lyon,141,115
Berlin,Venice,125,100
Berlin,Rome,150,130
Berlin,Munich,94,70
Berlin,Zurich,136,85
Berlin,Amsterdam,132,85
Berlin,Brussels,99,95
Berlin,Florence,100,115
Berlin,Birmingham,112,130
Berlin,Prague,108,210
Berlin,Nantes,159,225
Venice,London,69,145
Venice,Paris,118,115
Venice,Milan,148,235
Venice,Vienna,62,70
Venice,Barcelona,108,120
Venice,Madrid,64,160
Venice,Lyon,144,85
Venice,Berlin,152,100
Venice,Rome,84,70
Venice,Munich,140,65
Venice,Zurich,176,70
Venice,Amsterdam,154,115
Venice,Brussels,78,105
Venice,Florence,160,196
Venice,Birmingham,107,235
Venice,Prague,152,85
Venice,Nantes,103,135
Rome,London,89,175
Rome,Paris,107,130
Rome,Milan,72,70
Rome,Vienna,132,100
Rome,Barcelona,70,110
Rome,Madrid,66,155
Rome,Lyon,148,90
Rome,Berlin,109,130
Rome,Venice,76,70
Rome,Munich,94,95
Rome,Zurich,114,95
Rome,Amsterdam,122,155
Rome,Brussels,143,140
Rome,Florence,81,55
Rome,Birmingham,127,170
Rome,Prague,107,110
Rome,Nantes,153,140
Munich,London,74,125
Munich,Paris,104,105
Munich,Milan,126,65
Munich,Vienna,194,60
Munich,Barcelona,123,125
Munich,Madrid,108,170
Munich,Lyon,153,80
Munich,Berlin,97,70
Munich,Venice,126,60
Munich,Rome,114,95
Munich,Zurich,308,60
Munich,Amsterdam,161,100
Munich,Brussels,179,85
Munich,Florence,303,75
Munich,Birmingham,135,125
Munich,Prague,142,50
Munich,Nantes,194,120
Zurich,London,81,110
Zurich,Paris,147,80
Zurich,Milan,256,70
Zurich,Vienna,281,70
Zurich,Barcelona,107,110
Zurich,Madrid,91,145
Zurich,Lyon,162,205
Zurich,Berlin,156,85
Zurich,Venice,140,65
Zurich,Rome,122,90
Zurich,Munich,272,55
Zurich,Amsterdam,183,100
Zurich,Brussels,302,75
Zurich,Florence,257,75
Zurich,Birmingham,201,110
Zurich,Prague,206,75
Zurich,Nantes,230,195
Amsterdam,London,108,80
Amsterdam,Paris,154,80
Amsterdam,Milan,131,90
Amsterdam,Vienna,169,100
Amsterdam,Barcelona,177,125
Amsterdam,Madrid,108,160
Amsterdam,Lyon,142,100
Amsterdam,Berlin,138,75
Amsterdam,Venice,213,100
Amsterdam,Rome,166,135
Amsterdam,Munich,160,80
Amsterdam,Zurich,191,85
Amsterdam,Brussels,261,45
Amsterdam,Florence,315,120
Amsterdam,Birmingham,121,75
Amsterdam,Prague,163,85
Amsterdam,Nantes,210,90
Brussels,London,73,80
Brussels,Paris,60,60
Brussels,Milan,64,85
Brussels,Vienna,92,100
Brussels,Barcelona,116,120
Brussels,Madrid,101,150
Brussels,Lyon,91,80
Brussels,Berlin,95,85
Brussels,Venice,107,95
Brussels,Rome,91,125
Brussels,Munich,154,80
Brussels,Zurich,235,70
Brussels,Amsterdam,204,55
Brussels,Florence,117,105
Brussels,Birmingham,124,75
Brussels,Prague,82,85
Brussels,Nantes,112,190
Florence,London,99,130
Florence,Paris,127,110
Florence,Milan,165,185
Florence,Vienna,297,220
Florence,Barcelona,182,100
Florence,Madrid,78,150
Florence,Lyon,138,215
Florence,Berlin,159,115
Florence,Venice,159,180
Florence,Rome,70,50
Florence,Munich,123,75
Florence,Zurich,141,80
Florence,Amsterdam,138,130
Florence,Brussels,94,110
Florence,Birmingham,108,255
Florence,Prague,142,180
Florence,Nantes,144,120
Birmingham,London,220,270
Birmingham,Paris,96,85
Birmingham,Milan,155,205
Birmingham,Vienna,198,230
Birmingham,Barcelona,52,135
Birmingham,Madrid,162,290
Birmingham,Lyon,155,235
Birmingham,Berlin,121,120
Birmingham,Venice,156,235
Birmingham,Rome,106,165
Birmingham,Munich,164,110
Birmingham,Zurich,189,105
Birmingham,Amsterdam,96,80
Birmingham,Brussels,113,70
Birmingham,Florence,235,260
Birmingham,Prague,165,220
Birmingham,Nantes,230,240
Prague,London,60,140
Prague,Paris,105,110
Prague,Milan,107,90
Prague,Vienna,187,55
Prague,Barcelona,156,155
Prague,Madrid,128,190
Prague,Lyon,146,190
Prague,Berlin,115,245
Prague,Venice,115,85
Prague,Rome,131,110
Prague,Munich,203,55
Prague,Zurich,156,80
Prague,Amsterdam,127,95
Prague,Brussels,87,95
Prague,Florence,173,250
Prague,Birmingham,102,215
Prague,Nantes,136,265
Nantes,London,141,85
Nantes,Paris,157,240
Nantes,Milan,119,205
Nantes,Vienna,101,240
Nantes,Barcelona,111,90
Nantes,Madrid,64,100
Nantes,Lyon,113,75
Nantes,Berlin,108,220
Nantes,Venice,119,120
Nantes,Rome,152,130
Nantes,Munich,167,110
Nantes,Zurich,133,205
Nantes,Amsterdam,218,100
Nantes,Brussels,143,235
Nantes,Florence,114,110
Nantes,Birmingham,184,235
Nantes,Prague,133,235
